url,probe_target,reachable,verification,detail,occurrence_count,occurrences
https://github.com/DCMTK/dcmtk/blob/7f8564cf11e5531689dd329523fb16023aeda3ed/dcmnet/libsrc/dulfsm.cc#L1096-L1127,https://github.com/DCMTK/dcmtk/blob/7f8564cf11e5531689dd329523fb16023aeda3ed/dcmnet/libsrc/dulfsm.cc,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/transport_security_protocols/dicom/proposals.json"", ""json_pointer"": ""$[0].fsm_action_source_url"", ""field"": ""fsm_action_source_url""}, {""file"": ""_staging/transport_security_protocols/misc_mapping_overrides/audit_overrides.json"", ""json_pointer"": ""$.overrides[1].auxiliary_source_mappings[2].legacy_exact_url"", ""field"": ""legacy_exact_url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[61].auxiliary_source_mappings[2].legacy_exact_url"", ""field"": ""legacy_exact_url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[61].auxiliary_source_mappings[2].legacy_exact_url"", ""field"": ""legacy_exact_url""}, {""file"": ""protocols/dicom/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[0].auxiliary_source_mappings[2].legacy_exact_url"", ""field"": ""legacy_exact_url""}]"
https://github.com/DCMTK/dcmtk/blob/7f8564cf11e5531689dd329523fb16023aeda3ed/dcmnet/libsrc/dulfsm.cc#L1118-L1127,https://github.com/DCMTK/dcmtk/blob/7f8564cf11e5531689dd329523fb16023aeda3ed/dcmnet/libsrc/dulfsm.cc,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/transport_security_protocols/misc_mapping_overrides/audit_overrides.json"", ""json_pointer"": ""$.overrides[1].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[61].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[61].auxiliary_source_verification[2].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[61].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/dicom/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[0].auxiliary_source_mappings[2].url"", ""field"": ""url""}]"
https://github.com/DCMTK/dcmtk/tree/7f8564cf11e5531689dd329523fb16023aeda3ed,https://github.com/DCMTK/dcmtk/tree/7f8564cf11e5531689dd329523fb16023aeda3ed,True,TLS_VERIFIED,HTTP 206,2,"[{""file"": ""_staging/transport_security_protocols/dicom/evidence.json"", ""json_pointer"": ""$.sources[0].url"", ""field"": ""url""}, {""file"": ""protocols/dicom/evidence_manifest.json"", ""json_pointer"": ""$.screening_records[0].record.sources[0].url"", ""field"": ""url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L234,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[25].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_verification[0].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[60].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[22].auxiliary_source_mappings[0].url"", ""field"": ""url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L619-L645,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,1,"[{""file"": ""_staging/root_sip_extensions/sip/proposals.json"", ""json_pointer"": ""$[5].source_url"", ""field"": ""source_url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L621,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,4,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[25].source_url"", ""field"": ""source_url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].source_url"", ""field"": ""source_url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[60].source_url"", ""field"": ""source_url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[22].source_url"", ""field"": ""source_url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L701,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[25].auxiliary_source_mappings[1].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_mappings[1].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_verification[1].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[60].auxiliary_source_mappings[1].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[22].auxiliary_source_mappings[1].url"", ""field"": ""url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L712,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[25].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_verification[2].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[60].auxiliary_source_mappings[2].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[22].auxiliary_source_mappings[2].url"", ""field"": ""url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c#L837,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ict.c,True,TLS_VERIFIED,HTTP 206,5,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[25].auxiliary_source_mappings[3].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_mappings[3].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[60].auxiliary_source_verification[3].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[60].auxiliary_source_mappings[3].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[22].auxiliary_source_mappings[3].url"", ""field"": ""url""}]"
https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ist.c#L233,https://github.com/DoubangoTelecom/doubango/blob/7604ae6761534d2efdc862bc9961623abc98b9a5/tinySIP/src/transactions/tsip_transac_ist.c,True,TLS_VERIFIED,HTTP 206,20,"[{""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[20].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[21].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[22].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""_staging/root_sip_extensions/sip/audit_overrides.json"", ""json_pointer"": ""$.overrides[24].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[55].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[55].auxiliary_source_verification[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[56].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[56].auxiliary_source_verification[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[57].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[57].auxiliary_source_verification[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[59].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/all_protocol_properties.json"", ""json_pointer"": ""$[59].auxiliary_source_verification[0].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[55].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[56].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[57].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/evidence_manifest.json"", ""json_pointer"": ""$.sources[59].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[17].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[18].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[19].auxiliary_source_mappings[0].url"", ""field"": ""url""}, {""file"": ""protocols/sip/evidence_manifest.json"", ""json_pointer"": ""$.admitted_property_sources[21].auxiliary_source_mappings[0].url"", ""field"": ""url""}]"
