work_id,input_name,protocol_field,input_type,transport,mutation_value,status,confirmed_groups,legacy_groups,repetition_count,execution_class,mode_context,error
smoke-environment-sim-batt-voltage,SIM_BATT_VOLTAGE,,INPUT_E,PARAM_SET,11.55,CONFIRMED_EFFECT,"[""status""]","[""altitude""]",3,READY_SAFE,GROUND_DEFAULT,
smoke-command-rc1,RC1,RC_CHANNELS_OVERRIDE.chan1_raw,INPUT_C,RC_CHANNELS_OVERRIDE,1700,CONFIRMED_EFFECT,"[""roll""]","[""roll"",""yaw""]",3,READY_SAFE,ALT_HOLD_AIRBORNE,
smoke-parameter-fs-gcs-timeout,FS_GCS_TIMEOUT,,INPUT_P,PARAM_SET,2.0,CONFIRMED_EFFECT,"[""status""]",[],3,READY_SAFE,GUIDED_AIRBORNE,
